         5x4E-4                   (5x4E-4.dat)                                 09/10/18                                                                                   
                                                                                                                                                                          
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
        27.8        0.65      0.6507      0.1332      0.1335       0.024       0.171       0.215                                                                          
        29.3        0.69      0.6606      0.1213      0.1260       0.023       0.162       0.196                                                                          
        30.7        0.72      0.6679      0.1091      0.1177       0.022       0.151       0.176                                                                          
        32.2        0.76      0.6717      0.0966      0.1086       0.020       0.139       0.156                                                                          
        33.6        0.79      0.6709      0.0837      0.0986       0.018       0.126       0.135                                                                          
        35.1        0.82      0.6631      0.0706      0.0878       0.016       0.113       0.114                                                                          
        36.6        0.86      0.6426      0.0572      0.0764       0.014       0.098       0.092                                                                          
        38.0        0.89      0.5995      0.0435      0.0647       0.012       0.083       0.070                                                                          
        39.5        0.93      0.5150      0.0294      0.0529       0.010       0.068       0.047                                                                          
        41.0        0.96      0.3463      0.0149      0.0413       0.008       0.053       0.024                                                                          
        42.4        1.00     -0.0005      0.0000      0.0303       0.006       0.039       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      10000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2779      0.1781       0.045       0.282       0.553                                                                          
         1.6        0.03      0.0525      0.2760      0.1798       0.045       0.285       0.550                                                                          
         3.2        0.07      0.1034      0.2738      0.1813       0.046       0.287       0.545                                                                          
         4.9        0.10      0.1525      0.2709      0.1824       0.046       0.289       0.539                                                                          
         6.5        0.14      0.2001      0.2674      0.1830       0.046       0.290       0.532                                                                          
         8.1        0.17      0.2460      0.2630      0.1830       0.046       0.290       0.524                                                                          
         9.7        0.21      0.2901      0.2578      0.1825       0.046       0.289       0.513                                                                          
        11.3        0.24      0.3317      0.2515      0.1816       0.046       0.288       0.501                                                                          
        13.0        0.27      0.3711      0.2442      0.1801       0.045       0.285       0.486                                                                          
        14.6        0.31      0.4086      0.2357      0.1777       0.045       0.282       0.469                                                                          
        16.2        0.34      0.4442      0.2269      0.1749       0.044       0.277       0.452                                                                          
        17.8        0.38      0.4778      0.2178      0.1717       0.043       0.272       0.434                                                                          
        19.4        0.41      0.5090      0.2084      0.1682       0.042       0.266       0.415                                                                          
        21.1        0.44      0.5378      0.1987      0.1644       0.041       0.260       0.396                                                                          
        22.7        0.48      0.5637      0.1887      0.1604       0.040       0.254       0.376                                                                          
        24.3        0.51      0.5864      0.1783      0.1561       0.039       0.247       0.355                                                                          
        25.9        0.55      0.6063      0.1676      0.1513       0.038       0.240       0.334                                                                          
        27.6        0.58      0.6235      0.1565      0.1461       0.037       0.231       0.312                                                                          
        29.2        0.62      0.6380      0.1452      0.1402       0.035       0.222       0.289                                                                          
        30.8        0.65      0.6499      0.1336      0.1337       0.034       0.212       0.266                                                                          
        32.4        0.68      0.6599      0.1217      0.1262       0.032       0.200       0.242                                                                          
        34.0        0.72      0.6673      0.1095      0.1180       0.030       0.187       0.218                                                                          
        35.7        0.75      0.6706      0.0967      0.1086       0.027       0.172       0.193                                                                          
        37.3        0.79      0.6697      0.0839      0.0986       0.025       0.156       0.167                                                                          
        38.9        0.82      0.6616      0.0707      0.0878       0.022       0.139       0.141                                                                          
        40.5        0.86      0.6407      0.0573      0.0765       0.019       0.121       0.114                                                                          
        42.1        0.89      0.5968      0.0435      0.0649       0.016       0.103       0.087                                                                          
        43.8        0.92      0.5096      0.0293      0.0532       0.013       0.084       0.058                                                                          
        45.4        0.96      0.3380      0.0148      0.0420       0.011       0.067       0.029                                                                          
        47.0        0.99     -0.0032     -0.0001      0.0312       0.008       0.049       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      11000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2777      0.1783       0.060       0.342       0.669                                                                          
         1.8        0.03      0.0523      0.2759      0.1801       0.060       0.345       0.665                                                                          
         3.6        0.07      0.1030      0.2736      0.1815       0.061       0.348       0.659                                                                          
         5.3        0.10      0.1520      0.2708      0.1826       0.061       0.350       0.652                                                                          
         7.1        0.14      0.1995      0.2672      0.1831       0.061       0.351       0.644                                                                          
         8.9        0.17      0.2452      0.2629      0.1831       0.061       0.351       0.633                                                                          
        10.7        0.21      0.2892      0.2577      0.1827       0.061       0.350       0.621                                                                          
        12.5        0.24      0.3307      0.2514      0.1818       0.061       0.349       0.606                                                                          
        14.2        0.27      0.3700      0.2441      0.1803       0.060       0.346       0.588                                                                          
        16.0        0.31      0.4075      0.2356      0.1778       0.059       0.341       0.568                                                                          
        17.8        0.34      0.4431      0.2268      0.1749       0.059       0.335       0.546                                                                          
        19.6        0.38      0.4766      0.2177      0.1717       0.057       0.329       0.524                                                                          
        21.4        0.41      0.5079      0.2083      0.1682       0.056       0.322       0.502                                                                          
        23.1        0.44      0.5367      0.1986      0.1644       0.055       0.315       0.478                                                                          
        24.9        0.48      0.5626      0.1886      0.1604       0.054       0.307       0.454                                                                          
        26.7        0.51      0.5852      0.1782      0.1561       0.052       0.299       0.429                                                                          
        28.5        0.55      0.6052      0.1675      0.1513       0.051       0.290       0.404                                                                          
        30.3        0.58      0.6225      0.1565      0.1460       0.049       0.280       0.377                                                                          
        32.0        0.62      0.6370      0.1452      0.1402       0.047       0.269       0.350                                                                          
        33.8        0.65      0.6489      0.1336      0.1336       0.045       0.256       0.322                                                                          
        35.6        0.68      0.6589      0.1217      0.1262       0.042       0.242       0.293                                                                          
        37.4        0.72      0.6663      0.1094      0.1179       0.039       0.226       0.264                                                                          
        39.2        0.75      0.6701      0.0969      0.1087       0.036       0.208       0.233                                                                          
        40.9        0.79      0.6690      0.0840      0.0986       0.033       0.189       0.202                                                                          
        42.7        0.82      0.6603      0.0708      0.0879       0.029       0.169       0.171                                                                          
        44.5        0.85      0.6388      0.0573      0.0767       0.026       0.147       0.138                                                                          
        46.3        0.89      0.5938      0.0435      0.0651       0.022       0.125       0.105                                                                          
        48.1        0.92      0.5050      0.0293      0.0536       0.018       0.103       0.071                                                                          
        49.8        0.96      0.3338      0.0148      0.0425       0.014       0.081       0.036                                                                          
        51.6        0.99     -0.0024     -0.0001      0.0317       0.011       0.061       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      12000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2779      0.1787       0.078       0.408       0.797                                                                          
         1.9        0.03      0.0522      0.2761      0.1805       0.078       0.412       0.792                                                                          
         3.9        0.07      0.1027      0.2739      0.1819       0.079       0.415       0.785                                                                          
         5.8        0.10      0.1517      0.2711      0.1830       0.079       0.417       0.777                                                                          
         7.8        0.14      0.1991      0.2676      0.1835       0.080       0.419       0.767                                                                          
         9.7        0.17      0.2447      0.2633      0.1836       0.080       0.419       0.755                                                                          
        11.6        0.20      0.2886      0.2581      0.1831       0.080       0.418       0.740                                                                          
        13.6        0.24      0.3301      0.2518      0.1823       0.079       0.416       0.722                                                                          
        15.5        0.27      0.3694      0.2445      0.1807       0.078       0.412       0.701                                                                          
        17.5        0.31      0.4068      0.2360      0.1782       0.077       0.407       0.677                                                                          
        19.4        0.34      0.4424      0.2272      0.1753       0.076       0.400       0.651                                                                          
        21.3        0.38      0.4760      0.2181      0.1720       0.075       0.392       0.625                                                                          
        23.3        0.41      0.5073      0.2087      0.1685       0.073       0.384       0.598                                                                          
        25.2        0.44      0.5361      0.1990      0.1647       0.072       0.376       0.570                                                                          
        27.1        0.48      0.5620      0.1889      0.1606       0.070       0.366       0.542                                                                          
        29.1        0.51      0.5847      0.1785      0.1563       0.068       0.357       0.512                                                                          
        31.0        0.55      0.6047      0.1678      0.1515       0.066       0.346       0.481                                                                          
        33.0        0.58      0.6220      0.1568      0.1462       0.064       0.334       0.449                                                                          
        34.9        0.61      0.6365      0.1454      0.1403       0.061       0.320       0.417                                                                          
        36.8        0.65      0.6485      0.1338      0.1338       0.058       0.305       0.384                                                                          
        38.8        0.68      0.6585      0.1218      0.1263       0.055       0.288       0.349                                                                          
        40.7        0.72      0.6659      0.1096      0.1180       0.051       0.269       0.314                                                                          
        42.7        0.75      0.6697      0.0970      0.1088       0.047       0.248       0.278                                                                          
        44.6        0.78      0.6684      0.0841      0.0988       0.043       0.225       0.241                                                                          
        46.5        0.82      0.6592      0.0709      0.0881       0.038       0.201       0.203                                                                          
        48.5        0.85      0.6372      0.0574      0.0769       0.033       0.175       0.165                                                                          
        50.4        0.89      0.5911      0.0436      0.0655       0.028       0.149       0.125                                                                          
        52.4        0.92      0.5016      0.0294      0.0540       0.023       0.123       0.084                                                                          
        54.3        0.96      0.3310      0.0149      0.0429       0.019       0.098       0.043                                                                          
        56.2        0.99     -0.0022     -0.0001      0.0321       0.014       0.073       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      13000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2781      0.1791       0.099       0.480       0.936                                                                          
         2.1        0.03      0.0520      0.2764      0.1809       0.100       0.484       0.930                                                                          
         4.2        0.07      0.1024      0.2742      0.1824       0.101       0.488       0.923                                                                          
         6.3        0.10      0.1513      0.2714      0.1834       0.101       0.491       0.913                                                                          
         8.4        0.14      0.1985      0.2680      0.1840       0.102       0.493       0.902                                                                          
        10.5        0.17      0.2441      0.2637      0.1840       0.102       0.493       0.887                                                                          
        12.6        0.20      0.2879      0.2586      0.1836       0.101       0.492       0.870                                                                          
        14.7        0.24      0.3293      0.2523      0.1827       0.101       0.489       0.849                                                                          
        16.8        0.27      0.3686      0.2450      0.1811       0.100       0.485       0.824                                                                          
        18.9        0.31      0.4060      0.2365      0.1786       0.099       0.478       0.796                                                                          
        21.0        0.34      0.4415      0.2277      0.1757       0.097       0.470       0.766                                                                          
        23.1        0.37      0.4752      0.2186      0.1724       0.095       0.462       0.735                                                                          
        25.2        0.41      0.5065      0.2092      0.1688       0.093       0.452       0.704                                                                          
        27.3        0.44      0.5354      0.1994      0.1650       0.091       0.442       0.671                                                                          
        29.4        0.48      0.5613      0.1894      0.1609       0.089       0.431       0.637                                                                          
        31.5        0.51      0.5840      0.1790      0.1566       0.086       0.419       0.602                                                                          
        33.6        0.55      0.6041      0.1683      0.1518       0.084       0.407       0.566                                                                          
        35.6        0.58      0.6214      0.1572      0.1465       0.081       0.392       0.529                                                                          
        37.7        0.61      0.6360      0.1459      0.1406       0.078       0.377       0.491                                                                          
        39.8        0.65      0.6480      0.1342      0.1340       0.074       0.359       0.451                                                                          
        41.9        0.68      0.6581      0.1222      0.1266       0.070       0.339       0.411                                                                          
        44.0        0.72      0.6654      0.1100      0.1182       0.065       0.317       0.370                                                                          
        46.1        0.75      0.6693      0.0973      0.1090       0.060       0.292       0.328                                                                          
        48.2        0.78      0.6678      0.0844      0.0991       0.055       0.265       0.284                                                                          
        50.3        0.82      0.6582      0.0712      0.0885       0.049       0.237       0.240                                                                          
        52.4        0.85      0.6356      0.0577      0.0773       0.043       0.207       0.194                                                                          
        54.5        0.89      0.5886      0.0438      0.0659       0.036       0.177       0.147                                                                          
        56.6        0.92      0.4985      0.0296      0.0546       0.030       0.146       0.100                                                                          
        58.7        0.95      0.3285      0.0150      0.0435       0.024       0.116       0.050                                                                          
        60.8        0.99     -0.0015     -0.0001      0.0327       0.018       0.087       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      14000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2783      0.1795       0.124       0.557       1.086                                                                          
         2.3        0.03      0.0519      0.2767      0.1813       0.125       0.563       1.080                                                                          
         4.5        0.07      0.1022      0.2746      0.1828       0.126       0.568       1.071                                                                          
         6.8        0.10      0.1508      0.2718      0.1839       0.127       0.571       1.061                                                                          
         9.0        0.14      0.1980      0.2684      0.1844       0.127       0.573       1.048                                                                          
        11.3        0.17      0.2435      0.2642      0.1846       0.127       0.573       1.031                                                                          
        13.5        0.20      0.2872      0.2591      0.1841       0.127       0.572       1.011                                                                          
        15.8        0.24      0.3285      0.2529      0.1833       0.126       0.569       0.987                                                                          
        18.0        0.27      0.3678      0.2456      0.1817       0.125       0.564       0.958                                                                          
        20.3        0.31      0.4051      0.2371      0.1791       0.124       0.556       0.925                                                                          
        22.5        0.34      0.4407      0.2282      0.1761       0.121       0.547       0.891                                                                          
        24.8        0.37      0.4744      0.2191      0.1728       0.119       0.537       0.855                                                                          
        27.1        0.41      0.5057      0.2097      0.1692       0.117       0.525       0.818                                                                          
        29.3        0.44      0.5351      0.2003      0.1655       0.114       0.514       0.782                                                                          
        31.6        0.48      0.5611      0.1903      0.1614       0.111       0.501       0.742                                                                          
        33.8        0.51      0.5839      0.1798      0.1571       0.108       0.488       0.702                                                                          
        36.1        0.54      0.6040      0.1691      0.1523       0.105       0.473       0.660                                                                          
        38.3        0.58      0.6214      0.1580      0.1470       0.101       0.457       0.617                                                                          
        40.6        0.61      0.6360      0.1466      0.1411       0.097       0.438       0.572                                                                          
        42.8        0.65      0.6480      0.1349      0.1345       0.093       0.418       0.526                                                                          
        45.1        0.68      0.6581      0.1229      0.1270       0.088       0.394       0.479                                                                          
        47.3        0.71      0.6654      0.1105      0.1186       0.082       0.368       0.431                                                                          
        49.6        0.75      0.6692      0.0979      0.1094       0.075       0.340       0.382                                                                          
        51.9        0.78      0.6675      0.0849      0.0995       0.069       0.309       0.331                                                                          
        54.1        0.82      0.6570      0.0716      0.0889       0.061       0.276       0.279                                                                          
        56.4        0.85      0.6333      0.0579      0.0778       0.054       0.242       0.226                                                                          
        58.6        0.88      0.5841      0.0439      0.0665       0.046       0.206       0.171                                                                          
        60.9        0.92      0.4921      0.0296      0.0552       0.038       0.171       0.115                                                                          
        63.1        0.95      0.3245      0.0150      0.0441       0.030       0.137       0.059                                                                          
        65.4        0.99     -0.0015     -0.0001      0.0332       0.023       0.103       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      15000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2789      0.1797       0.152       0.640       1.250                                                                          
         2.4        0.03      0.0519      0.2773      0.1819       0.154       0.648       1.242                                                                          
         4.8        0.07      0.1022      0.2753      0.1834       0.156       0.654       1.233                                                                          
         7.3        0.10      0.1509      0.2727      0.1845       0.157       0.658       1.221                                                                          
         9.7        0.14      0.1981      0.2693      0.1851       0.157       0.660       1.207                                                                          
        12.1        0.17      0.2436      0.2652      0.1853       0.157       0.660       1.188                                                                          
        14.5        0.20      0.2874      0.2601      0.1848       0.157       0.659       1.165                                                                          
        16.9        0.24      0.3287      0.2538      0.1840       0.156       0.656       1.137                                                                          
        19.3        0.27      0.3680      0.2465      0.1824       0.155       0.650       1.104                                                                          
        21.8        0.31      0.4055      0.2379      0.1798       0.153       0.641       1.066                                                                          
        24.2        0.34      0.4411      0.2290      0.1767       0.150       0.630       1.026                                                                          
        26.6        0.37      0.4748      0.2199      0.1734       0.147       0.618       0.985                                                                          
        29.0        0.41      0.5063      0.2104      0.1697       0.144       0.605       0.942                                                                          
        31.4        0.44      0.5354      0.2006      0.1658       0.141       0.591       0.898                                                                          
        33.8        0.48      0.5616      0.1904      0.1616       0.137       0.576       0.853                                                                          
        36.3        0.51      0.5846      0.1800      0.1572       0.133       0.560       0.806                                                                          
        38.7        0.54      0.6050      0.1692      0.1523       0.129       0.543       0.758                                                                          
        41.1        0.58      0.6228      0.1581      0.1469       0.125       0.524       0.708                                                                          
        43.5        0.61      0.6379      0.1466      0.1408       0.119       0.502       0.657                                                                          
        45.9        0.65      0.6504      0.1348      0.1340       0.114       0.478       0.604                                                                          
        48.4        0.68      0.6609      0.1227      0.1263       0.107       0.450       0.549                                                                          
        50.8        0.71      0.6687      0.1103      0.1179       0.100       0.420       0.494                                                                          
        53.2        0.75      0.6727      0.0975      0.1086       0.092       0.387       0.437                                                                          
        55.6        0.78      0.6708      0.0845      0.0986       0.084       0.352       0.379                                                                          
        58.0        0.82      0.6599      0.0712      0.0881       0.075       0.314       0.319                                                                          
        60.4        0.85      0.6355      0.0576      0.0771       0.065       0.275       0.258                                                                          
        62.9        0.89      0.5861      0.0437      0.0660       0.056       0.235       0.196                                                                          
        65.3        0.92      0.4944      0.0295      0.0547       0.046       0.195       0.132                                                                          
        67.7        0.95      0.3255      0.0149      0.0436       0.037       0.155       0.067                                                                          
        70.1        0.99     -0.0008      0.0000      0.0327       0.028       0.117       0.000                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      16000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust                                                                         
       (mph)     (Adv Ratio)                                       (Hp)        (In-Lbf)     (Lbf)                                                                         
         0.0        0.00      0.0000      0.2793      0.1790       0.184       0.726       1.424                                                                          
         2.6        0.03      0.0522      0.2778      0.1813       0.187       0.736       1.416                                                                          
         5.2        0.07      0.1027      0.2758      0.1830       0.188       0.742       1.406                                                                          
         7.7        0.10      0.1516      0.2732      0.1842       0.190       0.747       1.392                                                                          
        10.3        0.14      0.1990      0.2699      0.1849       0.190       0.750       1.376                                                                          
        12.9        0.17      0.2446      0.2657      0.1852       0.191       0.751       1.354                                                                          
        15.5        0.20      0.2885      0.2606      0.1848       0.190       0.749       1.328                                                                          
        18.1        0.24      0.3300      0.2544      0.1840       0.189       0.746       1.297                                                                          
        20.7        0.27      0.3695      0.2470      0.1823       0.188       0.739       1.259                                                                          
        23.2        0.31      0.4072      0.2384      0.1796       0.185       0.729       1.215                                                                          
        25.8        0.34      0.4431      0.2295      0.1765       0.182       0.716       1.170                                                                          
        28.4        0.37      0.4771      0.2203      0.1731       0.178       0.702       1.123                                                                          
        31.0        0.41      0.5089      0.2108      0.1694       0.174       0.687       1.074                                                                          
        33.6        0.44      0.5383      0.2009      0.1654       0.170       0.671       1.024                                                                          
        36.1        0.48      0.5649      0.1907      0.1611       0.166       0.653       0.972                                                                          
        38.7        0.51      0.5884      0.1802      0.1566       0.161       0.635       0.919                                                                          
        41.3        0.55      0.6094      0.1694      0.1516       0.156       0.615       0.864                                                                          
        43.9        0.58      0.6278      0.1582      0.1460       0.150       0.592       0.806                                                                          
        46.5        0.61      0.6435      0.1467      0.1398       0.144       0.567       0.748                                                                          
        49.1        0.65      0.6567      0.1348      0.1329       0.137       0.539       0.687                                                                          
        51.6        0.68      0.6677      0.1226      0.1252       0.129       0.508       0.625                                                                          
        54.2        0.72      0.6757      0.1102      0.1167       0.120       0.473       0.562                                                                          
