         5x7.5E                   (5x75E.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/13/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
         5.2        0.55      0.5643      0.1570      0.1530       0.000       0.010       0.013       0.230       0.001       0.056      24.711        0.04       7431.  
         5.8        0.61      0.5991      0.1581      0.1612       0.000       0.010       0.013       0.242       0.001       0.056      23.613        0.04       7476.  
         6.4        0.67      0.6304      0.1590      0.1695       0.000       0.011       0.013       0.254       0.001       0.056      22.588        0.04       7526.  
         6.9        0.73      0.6586      0.1595      0.1776       0.000       0.011       0.013       0.266       0.001       0.056      21.630        0.04       7579.  
         7.5        0.79      0.6837      0.1593      0.1852       0.000       0.012       0.013       0.278       0.001       0.056      20.728        0.04       7637.  
         8.1        0.86      0.7060      0.1578      0.1912       0.000       0.012       0.013       0.287       0.001       0.056      19.876        0.04       7699.  
         8.7        0.92      0.7255      0.1538      0.1943       0.000       0.012       0.012       0.291       0.001       0.054      19.063        0.04       7765.  
         9.3        0.98      0.7411      0.1470      0.1939       0.000       0.012       0.012       0.291       0.001       0.052      18.256        0.04       7835.  
         9.8        1.04      0.7544      0.1379      0.1899       0.000       0.012       0.011       0.285       0.001       0.049      17.492        0.04       7909.  
        10.4        1.10      0.7655      0.1276      0.1833       0.000       0.012       0.010       0.275       0.001       0.045      16.763        0.04       7987.  
        11.0        1.16      0.7734      0.1169      0.1756       0.000       0.011       0.009       0.263       0.001       0.041      16.044        0.04       8068.  
        11.6        1.22      0.7778      0.1061      0.1667       0.000       0.011       0.008       0.250       0.001       0.038      15.329        0.04       8153.  
        12.2        1.28      0.7785      0.0950      0.1567       0.000       0.010       0.008       0.235       0.001       0.034      14.611        0.04       8241.  
        12.7        1.34      0.7779      0.0838      0.1448       0.000       0.009       0.007       0.217       0.001       0.030      13.937        0.04       8332.  
        13.3        1.41      0.7750      0.0725      0.1314       0.000       0.008       0.006       0.197       0.001       0.026      13.280        0.04       8427.  
        13.9        1.47      0.7656      0.0609      0.1167       0.000       0.007       0.005       0.175       0.001       0.022      12.574        0.04       8524.  
        14.5        1.53      0.7467      0.0492      0.1007       0.000       0.006       0.004       0.151       0.001       0.017      11.773        0.04       8625.  
        15.0        1.59      0.7117      0.0373      0.0833       0.000       0.005       0.003       0.125       0.001       0.013      10.788        0.04       8729.  
        15.6        1.65      0.6401      0.0251      0.0646       0.000       0.004       0.002       0.097       0.000       0.009       9.343        0.04       8835.  
        16.2        1.71      0.4844      0.0126      0.0446       0.000       0.003       0.001       0.067       0.000       0.004       6.819        0.05       8944.  
        16.8        1.77     -0.0004      0.0000      0.0232       0.000       0.001       0.000       0.035       0.000       0.000      -0.005        0.05       9055.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       3000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.001       0.014       0.027       0.493       0.002       0.122      25.128        0.06      10855.  
         0.9        0.06      0.0913      0.1526      0.1021       0.001       0.015       0.027       0.517       0.002       0.122      24.004        0.06      10859.  
         1.7        0.12      0.1744      0.1528      0.1071       0.001       0.015       0.027       0.542       0.002       0.122      22.910        0.06      10870.  
         2.6        0.18      0.2495      0.1531      0.1125       0.001       0.016       0.027       0.570       0.002       0.122      21.852        0.06      10888.  
         3.5        0.24      0.3172      0.1535      0.1183       0.001       0.017       0.028       0.599       0.002       0.122      20.836        0.06      10913.  
         4.3        0.31      0.3780      0.1540      0.1245       0.001       0.018       0.028       0.630       0.002       0.123      19.865        0.06      10946.  
         5.2        0.37      0.4325      0.1546      0.1310       0.001       0.019       0.028       0.663       0.002       0.123      18.943        0.06      10986.  
         6.1        0.43      0.4814      0.1553      0.1380       0.001       0.020       0.028       0.698       0.002       0.124      18.071        0.06      11033.  
         6.9        0.49      0.5251      0.1561      0.1453       0.001       0.021       0.028       0.735       0.002       0.124      17.249        0.06      11086.  
         7.8        0.55      0.5642      0.1570      0.1530       0.001       0.022       0.028       0.775       0.002       0.125      16.475        0.06      11147.  
         8.7        0.61      0.5991      0.1581      0.1612       0.001       0.023       0.028       0.816       0.003       0.126      15.742        0.06      11214.  
         9.5        0.67      0.6304      0.1590      0.1695       0.001       0.024       0.028       0.858       0.003       0.127      15.059        0.06      11288.  
        10.4        0.73      0.6585      0.1595      0.1776       0.001       0.025       0.029       0.899       0.003       0.127      14.421        0.06      11369.  
        11.3        0.79      0.6836      0.1594      0.1852       0.001       0.026       0.029       0.937       0.003       0.127      13.819        0.06      11456.  
        12.2        0.86      0.7060      0.1578      0.1912       0.001       0.027       0.028       0.968       0.003       0.126      13.251        0.06      11549.  
        13.0        0.92      0.7255      0.1539      0.1944       0.001       0.028       0.028       0.984       0.003       0.123      12.709        0.06      11648.  
        13.9        0.98      0.7410      0.1470      0.1940       0.001       0.028       0.026       0.982       0.003       0.117      12.171        0.06      11753.  
        14.8        1.04      0.7544      0.1380      0.1900       0.001       0.027       0.025       0.962       0.003       0.110      11.661        0.06      11863.  
        15.6        1.10      0.7655      0.1276      0.1834       0.001       0.026       0.023       0.928       0.003       0.102      11.176        0.06      11980.  
        16.5        1.16      0.7734      0.1170      0.1757       0.001       0.025       0.021       0.889       0.003       0.093      10.697        0.06      12101.  
        17.4        1.22      0.7778      0.1062      0.1668       0.001       0.024       0.019       0.844       0.003       0.085      10.220        0.06      12229.  
        18.2        1.28      0.7785      0.0951      0.1568       0.001       0.022       0.017       0.793       0.003       0.076       9.742        0.06      12361.  
        19.1        1.34      0.7779      0.0839      0.1450       0.001       0.021       0.015       0.734       0.002       0.067       9.292        0.06      12498.  
        20.0        1.41      0.7750      0.0725      0.1315       0.001       0.019       0.013       0.666       0.002       0.058       8.855        0.07      12640.  
        20.8        1.47      0.7657      0.0610      0.1168       0.001       0.017       0.011       0.591       0.002       0.049       8.384        0.07      12786.  
        21.7        1.53      0.7469      0.0493      0.1008       0.001       0.014       0.009       0.510       0.002       0.039       7.851        0.07      12937.  
        22.6        1.59      0.7119      0.0374      0.0834       0.001       0.012       0.007       0.422       0.001       0.030       7.195        0.07      13092.  
        23.4        1.65      0.6403      0.0251      0.0647       0.000       0.009       0.004       0.327       0.001       0.020       6.232        0.07      13252.  
        24.3        1.71      0.4847      0.0126      0.0446       0.000       0.006       0.002       0.226       0.001       0.010       4.549        0.07      13415.  
        25.2        1.77     -0.0003      0.0000      0.0232       0.000       0.003       0.000       0.117       0.000       0.000      -0.003        0.07      13583.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       4000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.002       0.025       0.049       1.169       0.003       0.216      18.846        0.08      14474.  
         1.2        0.06      0.0913      0.1526      0.1021       0.002       0.026       0.049       1.225       0.003       0.216      18.003        0.08      14478.  
         2.3        0.12      0.1744      0.1528      0.1071       0.002       0.027       0.049       1.285       0.003       0.217      17.182        0.08      14493.  
         3.5        0.18      0.2495      0.1531      0.1125       0.002       0.029       0.049       1.350       0.003       0.217      16.389        0.08      14517.  
         4.6        0.24      0.3172      0.1535      0.1183       0.002       0.030       0.049       1.419       0.003       0.218      15.627        0.08      14551.  
         5.8        0.31      0.3780      0.1540      0.1245       0.002       0.032       0.049       1.493       0.004       0.218      14.899        0.08      14595.  
         6.9        0.37      0.4325      0.1546      0.1310       0.002       0.033       0.049       1.572       0.004       0.219      14.208        0.08      14648.  
         8.1        0.43      0.4814      0.1553      0.1380       0.002       0.035       0.049       1.655       0.004       0.220      13.553        0.08      14710.  
         9.3        0.49      0.5251      0.1561      0.1453       0.002       0.037       0.050       1.743       0.004       0.221      12.937        0.08      14782.  
        10.4        0.55      0.5642      0.1570      0.1530       0.002       0.039       0.050       1.836       0.004       0.222      12.356        0.08      14863.  
