         5x7.5E                   (5x75E.dat)                                                                                                                             
         v2020-0506                                                                                                                                                       
         Simulation Date: 05/13/2020                                                                                                                                      
                                                                                                                                                                          
         POLARS WERE GENERATED USING:  TAIR (DEFAULT, BATCH)                                                                                                              
                                                                                                                                                                          
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                    
                                                                                                                                                                          
         DEFINITIONS:                                                                                                                                                     
         J=V/nD (advance ratio)                                                                                                                                           
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                          
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                           
         Pe=Ct*J/Cp (efficiency)                                                                                                                                          
         V  (model speed in MPH)                                                                                                                                          
         Mach (at prop tip)                                                                                                                                               
         Reyn (at 75% of span)                                                                                                                                            
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =       1000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
        15.6        0.37      0.4325      0.1546      0.1310       0.024       0.168       0.249      17.904       0.019       1.109       6.315        0.18      32957.  
        18.2        0.43      0.4814      0.1553      0.1380       0.025       0.177       0.250      18.853       0.020       1.114       6.024        0.18      33098.  
        20.8        0.49      0.5251      0.1561      0.1453       0.027       0.186       0.252      19.855       0.021       1.120       5.750        0.18      33259.  
        23.4        0.55      0.5642      0.1570      0.1530       0.028       0.196       0.253      20.912       0.022       1.126       5.492        0.18      33441.  
        26.0        0.61      0.5991      0.1581      0.1612       0.030       0.207       0.255      22.031       0.023       1.134       5.248        0.18      33643.  
        28.6        0.67      0.6302      0.1591      0.1696       0.031       0.218       0.257      23.183       0.025       1.141       5.019        0.18      33865.  
        31.2        0.73      0.6583      0.1597      0.1779       0.033       0.228       0.258      24.312       0.026       1.146       4.806        0.18      34106.  
        33.8        0.79      0.6834      0.1598      0.1857       0.034       0.238       0.258      25.378       0.027       1.146       4.605        0.18      34366.  
        36.5        0.86      0.7057      0.1584      0.1920       0.035       0.246       0.255      26.244       0.028       1.136       4.415        0.18      34645.  
        39.1        0.92      0.7251      0.1547      0.1956       0.036       0.251       0.250      26.725       0.028       1.110       4.235        0.19      34943.  
        41.7        0.98      0.7407      0.1480      0.1953       0.036       0.251       0.239      26.694       0.028       1.062       4.055        0.19      35258.  
        44.3        1.04      0.7540      0.1390      0.1915       0.035       0.246       0.224      26.163       0.028       0.997       3.885        0.19      35590.  
        46.9        1.10      0.7652      0.1286      0.1848       0.034       0.237       0.207      25.254       0.027       0.922       3.724        0.19      35939.  
        49.5        1.16      0.7732      0.1179      0.1770       0.032       0.227       0.190      24.192       0.026       0.846       3.565        0.19      36304.  
        52.1        1.22      0.7778      0.1070      0.1681       0.031       0.216       0.173      22.978       0.024       0.768       3.407        0.19      36685.  
        54.7        1.28      0.7787      0.0959      0.1580       0.029       0.203       0.155      21.596       0.023       0.688       3.248        0.19      37082.  
        57.3        1.34      0.7784      0.0846      0.1461       0.027       0.188       0.136      19.968       0.021       0.607       3.099        0.19      37493.  
        59.9        1.41      0.7756      0.0732      0.1326       0.024       0.170       0.118      18.121       0.019       0.525       2.954        0.20      37918.  
        62.5        1.47      0.7666      0.0616      0.1178       0.022       0.151       0.099      16.101       0.017       0.442       2.798        0.20      38358.  
        65.1        1.53      0.7479      0.0497      0.1016       0.019       0.130       0.080      13.885       0.015       0.357       2.621        0.20      38811.  
        67.7        1.59      0.7133      0.0378      0.0841       0.015       0.108       0.061      11.491       0.012       0.271       2.403        0.20      39277.  
        70.3        1.65      0.6423      0.0254      0.0652       0.012       0.084       0.041       8.908       0.009       0.182       2.084        0.20      39755.  
        72.9        1.71      0.4871      0.0128      0.0449       0.008       0.058       0.021       6.136       0.007       0.092       1.524        0.20      40245.  
        75.5        1.77     -0.0006      0.0000      0.0232       0.004       0.030       0.000       3.174       0.003       0.000      -0.002        0.20      40747.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      10000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.024       0.154       0.304      18.263       0.017       1.350       7.539        0.20      36184.  
         2.9        0.06      0.0913      0.1526      0.1021       0.026       0.162       0.304      19.137       0.018       1.352       7.202        0.20      36196.  
         5.8        0.12      0.1744      0.1528      0.1071       0.027       0.170       0.304      20.079       0.019       1.353       6.873        0.20      36233.  
         8.7        0.18      0.2495      0.1531      0.1125       0.028       0.178       0.305      21.092       0.020       1.356       6.556        0.20      36293.  
        11.6        0.24      0.3171      0.1535      0.1183       0.030       0.187       0.306      22.176       0.021       1.359       6.251        0.20      36378.  
        14.5        0.31      0.3780      0.1540      0.1245       0.031       0.197       0.307      23.332       0.022       1.364       5.960        0.20      36487.  
        17.4        0.37      0.4325      0.1546      0.1310       0.033       0.208       0.308      24.560       0.023       1.369       5.683        0.20      36619.  
        20.3        0.43      0.4814      0.1553      0.1380       0.035       0.219       0.309      25.861       0.025       1.375       5.422        0.20      36775.  
        23.1        0.49      0.5251      0.1561      0.1453       0.037       0.230       0.311      27.236       0.026       1.382       5.175        0.20      36954.  
        26.0        0.55      0.5642      0.1570      0.1530       0.038       0.242       0.313      28.686       0.027       1.390       4.943        0.20      37156.  
        28.9        0.61      0.5991      0.1581      0.1612       0.041       0.255       0.315      30.219       0.029       1.400       4.723        0.20      37381.  
        31.8        0.67      0.6302      0.1591      0.1697       0.043       0.269       0.317      31.805       0.030       1.409       4.517        0.20      37627.  
        34.7        0.73      0.6583      0.1598      0.1780       0.045       0.282       0.318      33.363       0.032       1.415       4.325        0.20      37895.  
        37.6        0.79      0.6833      0.1599      0.1859       0.047       0.294       0.318      34.842       0.033       1.416       4.144        0.20      38185.  
        40.5        0.86      0.7056      0.1586      0.1923       0.048       0.305       0.316      36.046       0.034       1.405       3.974        0.21      38495.  
        43.4        0.92      0.7251      0.1550      0.1959       0.049       0.310       0.309      36.716       0.035       1.372       3.811        0.21      38825.  
        46.3        0.98      0.7406      0.1483      0.1957       0.049       0.310       0.295      36.687       0.035       1.313       3.649        0.21      39175.  
        49.2        1.04      0.7539      0.1392      0.1918       0.048       0.304       0.277      35.963       0.034       1.233       3.496        0.21      39544.  
        52.1        1.10      0.7651      0.1288      0.1852       0.047       0.293       0.256      34.716       0.033       1.141       3.351        0.21      39932.  
        55.0        1.16      0.7731      0.1182      0.1774       0.045       0.281       0.235      33.258       0.032       1.046       3.208        0.21      40338.  
        57.9        1.22      0.7778      0.1073      0.1685       0.042       0.267       0.214      31.589       0.030       0.950       3.066        0.21      40761.  
        60.8        1.28      0.7787      0.0961      0.1584       0.040       0.251       0.191      29.690       0.028       0.851       2.924        0.21      41201.  
        63.6        1.34      0.7785      0.0848      0.1465       0.037       0.232       0.169      27.454       0.026       0.751       2.790        0.22      41658.  
        66.5        1.41      0.7758      0.0734      0.1329       0.033       0.211       0.146      24.916       0.024       0.650       2.659        0.22      42131.  
        69.4        1.47      0.7668      0.0618      0.1181       0.030       0.187       0.123      22.139       0.021       0.547       2.519        0.22      42620.  
        72.3        1.53      0.7483      0.0499      0.1019       0.026       0.161       0.099      19.101       0.018       0.442       2.360        0.22      43123.  
        75.2        1.59      0.7139      0.0379      0.0844       0.021       0.134       0.075      15.815       0.015       0.336       2.165        0.22      43640.  
        78.1        1.65      0.6430      0.0255      0.0654       0.016       0.104       0.051      12.256       0.012       0.226       1.878        0.22      44172.  
        81.0        1.71      0.4880      0.0128      0.0450       0.011       0.071       0.026       8.437       0.008       0.114       1.374        0.23      44716.  
        83.9        1.77      0.0001      0.0000      0.0233       0.006       0.037       0.000       4.360       0.004       0.000       0.000        0.23      45274.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      11000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.033       0.187       0.367      24.308       0.021       1.634       6.854        0.22      39802.  
         3.2        0.06      0.0913      0.1526      0.1021       0.034       0.196       0.368      25.471       0.022       1.635       6.547        0.22      39816.  
         6.4        0.12      0.1744      0.1528      0.1071       0.036       0.205       0.368      26.725       0.023       1.638       6.249        0.22      39856.  
         9.5        0.18      0.2495      0.1531      0.1125       0.038       0.216       0.369      28.072       0.024       1.641       5.960        0.22      39923.  
        12.7        0.24      0.3171      0.1535      0.1183       0.040       0.227       0.370      29.515       0.026       1.645       5.683        0.22      40016.  
        15.9        0.31      0.3780      0.1540      0.1245       0.042       0.239       0.371      31.053       0.027       1.650       5.418        0.22      40136.  
        19.1        0.37      0.4325      0.1546      0.1310       0.044       0.251       0.372      32.688       0.028       1.656       5.167        0.22      40281.  
        22.3        0.43      0.4814      0.1553      0.1380       0.046       0.264       0.374      34.420       0.030       1.664       4.929        0.22      40453.  
        25.5        0.49      0.5251      0.1561      0.1453       0.049       0.279       0.376      36.249       0.031       1.672       4.705        0.22      40650.  
        28.6        0.55      0.5642      0.1570      0.1530       0.051       0.293       0.378      38.179       0.033       1.682       4.494        0.22      40872.  
        31.8        0.61      0.5991      0.1581      0.1612       0.054       0.309       0.381      40.220       0.035       1.694       4.294        0.22      41119.  
        35.0        0.67      0.6302      0.1591      0.1697       0.057       0.325       0.383      42.340       0.037       1.705       4.106        0.22      41390.  
        38.2        0.73      0.6582      0.1598      0.1781       0.060       0.341       0.385      44.425       0.039       1.713       3.932        0.22      41685.  
        41.4        0.79      0.6832      0.1600      0.1860       0.062       0.357       0.385      46.410       0.040       1.714       3.767        0.23      42003.  
        44.5        0.86      0.7054      0.1588      0.1926       0.064       0.369       0.383      48.050       0.042       1.702       3.612        0.23      42344.  
        47.7        0.92      0.7249      0.1553      0.1963       0.066       0.376       0.374      48.973       0.043       1.664       3.464        0.23      42707.  
        50.9        0.98      0.7405      0.1486      0.1961       0.066       0.376       0.358      48.939       0.042       1.592       3.317        0.23      43092.  
        54.1        1.04      0.7537      0.1396      0.1924       0.064       0.369       0.336      47.994       0.042       1.496       3.178        0.23      43498.  
        57.3        1.10      0.7650      0.1292      0.1857       0.062       0.356       0.311      46.328       0.040       1.384       3.046        0.23      43924.  
        60.5        1.16      0.7731      0.1185      0.1779       0.060       0.341       0.285      44.382       0.039       1.269       2.917        0.23      44371.  
        63.6        1.22      0.7778      0.1075      0.1690       0.057       0.324       0.259      42.154       0.037       1.152       2.787        0.23      44837.  
        66.8        1.28      0.7788      0.0964      0.1588       0.053       0.304       0.232      39.617       0.034       1.033       2.658        0.24      45321.  
        70.0        1.34      0.7786      0.0851      0.1468       0.049       0.281       0.205      36.635       0.032       0.911       2.537        0.24      45823.  
        73.2        1.41      0.7760      0.0736      0.1333       0.045       0.256       0.177      33.259       0.029       0.789       2.418        0.24      46344.  
        76.4        1.47      0.7671      0.0620      0.1185       0.040       0.227       0.149      29.556       0.026       0.664       2.291        0.24      46881.  
        79.6        1.53      0.7487      0.0501      0.1022       0.034       0.196       0.121      25.508       0.022       0.537       2.147        0.24      47434.  
        82.7        1.59      0.7145      0.0381      0.0847       0.028       0.162       0.092      21.121       0.018       0.408       1.970        0.24      48003.  
        85.9        1.65      0.6438      0.0256      0.0656       0.022       0.126       0.062      16.366       0.014       0.274       1.709        0.25      48588.  
        89.1        1.71      0.4889      0.0129      0.0451       0.015       0.087       0.031      11.259       0.010       0.138       1.252        0.25      49187.  
        92.3        1.77     -0.0001      0.0000      0.0233       0.008       0.045       0.000       5.805       0.005       0.000       0.000        0.25      49800.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      12000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.042       0.222       0.437      31.558       0.025       1.944       6.283        0.24      43421.  
         3.5        0.06      0.0913      0.1526      0.1021       0.044       0.233       0.438      33.068       0.026       1.946       6.002        0.24      43435.  
         6.9        0.12      0.1744      0.1528      0.1071       0.047       0.244       0.438      34.695       0.028       1.949       5.728        0.24      43479.  
        10.4        0.18      0.2495      0.1531      0.1125       0.049       0.257       0.439      36.445       0.029       1.953       5.464        0.24      43552.  
        13.9        0.24      0.3171      0.1535      0.1183       0.051       0.270       0.440      38.318       0.030       1.958       5.210        0.24      43654.  
        17.4        0.31      0.3780      0.1540      0.1245       0.054       0.284       0.441      40.315       0.032       1.964       4.967        0.24      43784.  
        20.8        0.37      0.4325      0.1546      0.1310       0.057       0.299       0.443      42.437       0.034       1.971       4.737        0.24      43943.  
        24.3        0.43      0.4814      0.1553      0.1379       0.060       0.315       0.445      44.685       0.036       1.980       4.518        0.24      44130.  
        27.8        0.49      0.5251      0.1561      0.1453       0.063       0.331       0.447      47.060       0.037       1.990       4.313        0.24      44345.  
        31.2        0.55      0.5642      0.1570      0.1530       0.066       0.349       0.450      49.566       0.039       2.002       4.119        0.24      44587.  
        34.7        0.61      0.5991      0.1581      0.1612       0.070       0.368       0.453      52.215       0.042       2.016       3.936        0.24      44857.  
        38.2        0.67      0.6301      0.1591      0.1697       0.074       0.387       0.456      54.980       0.044       2.029       3.764        0.24      45152.  
        41.7        0.73      0.6581      0.1599      0.1781       0.077       0.406       0.458      57.704       0.046       2.039       3.604        0.24      45474.  
        45.1        0.79      0.6831      0.1601      0.1862       0.081       0.425       0.459      60.308       0.048       2.042       3.452        0.25      45821.  
        48.6        0.86      0.7052      0.1590      0.1929       0.084       0.440       0.456      62.480       0.050       2.028       3.310        0.25      46193.  
        52.1        0.92      0.7247      0.1556      0.1967       0.085       0.449       0.446      63.723       0.051       1.984       3.175        0.25      46589.  
        55.5        0.98      0.7402      0.1489      0.1967       0.085       0.449       0.427      63.704       0.051       1.899       3.040        0.25      47009.  
        59.0        1.04      0.7535      0.1399      0.1929       0.084       0.440       0.401      62.480       0.050       1.784       2.912        0.25      47452.  
        62.5        1.10      0.7678      0.1298      0.1859       0.081       0.424       0.372      60.205       0.048       1.655       2.803        0.25      47917.  
        66.0        1.16      0.7751      0.1190      0.1782       0.077       0.406       0.341      57.708       0.046       1.517       2.680        0.25      48404.  
        69.4        1.22      0.7788      0.1079      0.1693       0.074       0.386       0.309      54.843       0.044       1.376       2.559        0.26      48912.  
        72.9        1.28      0.7789      0.0966      0.1592       0.069       0.363       0.277      51.568       0.041       1.232       2.437        0.26      49441.  
        76.4        1.34      0.7788      0.0853      0.1472       0.064       0.336       0.245      47.690       0.038       1.088       2.326        0.26      49989.  
        79.8        1.41      0.7762      0.0738      0.1336       0.058       0.305       0.212      43.292       0.034       0.941       2.218        0.26      50556.  
        83.3        1.47      0.7674      0.0622      0.1188       0.052       0.271       0.178      38.474       0.031       0.793       2.101        0.26      51142.  
        86.8        1.53      0.7491      0.0503      0.1025       0.045       0.234       0.144      33.215       0.026       0.641       1.969        0.26      51746.  
        90.3        1.59      0.7150      0.0382      0.0849       0.037       0.194       0.110      27.502       0.022       0.487       1.807        0.27      52367.  
        93.7        1.65      0.6445      0.0257      0.0658       0.029       0.150       0.074      21.305       0.017       0.328       1.568        0.27      53004.  
        97.2        1.71      0.4897      0.0129      0.0452       0.020       0.103       0.037      14.650       0.012       0.165       1.149        0.27      53658.  
       100.7        1.77     -0.0002      0.0000      0.0233       0.010       0.053       0.000       7.540       0.006       0.000      -0.001        0.27      54327.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      13000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.054       0.261       0.513      40.123       0.029       2.282       5.799        0.26      47039.  
         3.8        0.06      0.0913      0.1526      0.1021       0.056       0.273       0.514      42.043       0.031       2.284       5.540        0.26      47055.  
         7.5        0.12      0.1743      0.1528      0.1071       0.059       0.287       0.514      44.113       0.032       2.287       5.287        0.26      47102.  
        11.3        0.18      0.2494      0.1531      0.1125       0.062       0.301       0.515      46.337       0.034       2.292       5.043        0.26      47181.  
        15.0        0.24      0.3171      0.1535      0.1183       0.065       0.317       0.517      48.718       0.036       2.297       4.809        0.26      47292.  
        18.8        0.31      0.3780      0.1540      0.1245       0.069       0.333       0.518      51.257       0.038       2.305       4.585        0.26      47433.  
        22.6        0.37      0.4325      0.1546      0.1310       0.072       0.351       0.520      53.956       0.040       2.313       4.372        0.26      47605.  
        26.3        0.43      0.4814      0.1553      0.1380       0.076       0.369       0.522      56.815       0.042       2.324       4.171        0.26      47808.  
        30.1        0.49      0.5251      0.1561      0.1453       0.080       0.389       0.525      59.834       0.044       2.336       3.981        0.26      48041.  
        33.8        0.55      0.5642      0.1570      0.1530       0.085       0.410       0.528      63.019       0.046       2.350       3.802        0.26      48303.  
        37.6        0.61      0.5991      0.1581      0.1612       0.089       0.432       0.532      66.389       0.049       2.366       3.633        0.26      48595.  
        41.4        0.67      0.6301      0.1592      0.1698       0.094       0.455       0.536      69.919       0.051       2.382       3.474        0.26      48915.  
        45.1        0.73      0.6580      0.1600      0.1782       0.098       0.477       0.538      73.406       0.054       2.394       3.326        0.26      49264.  
        48.9        0.79      0.6829      0.1602      0.1864       0.103       0.499       0.539      76.751       0.056       2.398       3.186        0.27      49640.  
        52.6        0.86      0.7050      0.1593      0.1932       0.107       0.517       0.536      79.569       0.058       2.383       3.055        0.27      50043.  
        56.4        0.92      0.7250      0.1560      0.1972       0.109       0.528       0.525      81.197       0.060       2.334       2.932        0.27      50472.  
        60.2        0.98      0.7419      0.1495      0.1970       0.109       0.527       0.503      81.125       0.060       2.238       2.813        0.27      50927.  
        63.9        1.04      0.7565      0.1406      0.1931       0.107       0.517       0.473      79.518       0.058       2.105       2.699        0.27      51407.  
        67.7        1.10      0.7676      0.1301      0.1864       0.103       0.499       0.438      76.762       0.056       1.947       2.587        0.27      51911.  
        71.5        1.16      0.7750      0.1193      0.1787       0.099       0.478       0.401      73.587       0.054       1.785       2.474        0.27      52438.  
        75.2        1.22      0.7787      0.1082      0.1698       0.094       0.455       0.364      69.927       0.051       1.619       2.362        0.28      52988.  
        79.0        1.28      0.7789      0.0969      0.1596       0.088       0.427       0.326      65.744       0.048       1.450       2.250        0.28      53561.  
        82.7        1.34      0.7789      0.0855      0.1476       0.082       0.395       0.288      60.796       0.045       1.280       2.147        0.28      54155.  
        86.5        1.41      0.7764      0.0741      0.1340       0.074       0.359       0.249      55.203       0.041       1.108       2.047        0.28      54769.  
        90.3        1.47      0.7677      0.0624      0.1191       0.066       0.319       0.210      49.068       0.036       0.934       1.940        0.28      55404.  
        94.0        1.53      0.7495      0.0505      0.1029       0.057       0.275       0.170      42.361       0.031       0.755       1.818        0.29      56058.  
        97.8        1.59      0.7155      0.0384      0.0852       0.047       0.228       0.129      35.074       0.026       0.574       1.669        0.29      56731.  
       101.5        1.65      0.6451      0.0258      0.0660       0.036       0.177       0.087      27.163       0.020       0.386       1.449        0.29      57422.  
       105.3        1.71      0.4905      0.0130      0.0453       0.025       0.121       0.044      18.668       0.014       0.194       1.062        0.29      58130.  
       109.1        1.77     -0.0004      0.0000      0.0233       0.013       0.062       0.000       9.591       0.007       0.000      -0.001        0.30      58855.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      14000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.067       0.303       0.595      50.114       0.034       2.646       5.385        0.28      50658.  
         4.1        0.06      0.0913      0.1526      0.1021       0.070       0.317       0.596      52.512       0.036       2.649       5.144        0.28      50675.  
         8.1        0.12      0.1744      0.1528      0.1071       0.074       0.333       0.596      55.098       0.038       2.653       4.909        0.28      50726.  
        12.2        0.18      0.2495      0.1531      0.1125       0.078       0.349       0.598      57.876       0.039       2.658       4.683        0.28      50811.  
        16.2        0.24      0.3172      0.1535      0.1183       0.082       0.367       0.599      60.850       0.042       2.664       4.465        0.28      50929.  
        20.3        0.31      0.3780      0.1540      0.1245       0.086       0.387       0.601      64.022       0.044       2.673       4.257        0.28      51082.  
        24.3        0.37      0.4325      0.1546      0.1310       0.090       0.407       0.603      67.393       0.046       2.683       4.060        0.28      51267.  
        28.4        0.43      0.4814      0.1553      0.1380       0.095       0.428       0.606      70.964       0.048       2.695       3.873        0.28      51485.  
        32.4        0.49      0.5251      0.1561      0.1453       0.100       0.451       0.609      74.735       0.051       2.709       3.696        0.28      51736.  
        36.5        0.55      0.5642      0.1570      0.1530       0.106       0.475       0.613      78.715       0.054       2.725       3.531        0.28      52019.  
        40.5        0.61      0.5991      0.1581      0.1612       0.111       0.501       0.617      82.923       0.057       2.743       3.374        0.28      52333.  
        44.6        0.67      0.6301      0.1592      0.1698       0.117       0.527       0.621      87.349       0.060       2.763       3.226        0.28      52678.  
        48.6        0.73      0.6580      0.1600      0.1783       0.123       0.554       0.625      91.736       0.063       2.778       3.088        0.29      53054.  
        52.7        0.79      0.6829      0.1604      0.1865       0.129       0.579       0.626      95.955       0.065       2.784       2.958        0.29      53459.  
        56.7        0.86      0.7051      0.1595      0.1935       0.133       0.601       0.622      99.542       0.068       2.769       2.836        0.29      53893.  
        60.8        0.92      0.7248      0.1563      0.1976       0.136       0.614       0.610     101.663       0.069       2.713       2.721        0.29      54355.  
        64.8        0.98      0.7417      0.1499      0.1976       0.136       0.614       0.585     101.632       0.069       2.602       2.611        0.29      54845.  
        68.9        1.04      0.7563      0.1410      0.1937       0.134       0.601       0.550      99.632       0.068       2.448       2.505        0.29      55362.  
        72.9        1.10      0.7675      0.1305      0.1870       0.129       0.581       0.509      96.185       0.066       2.265       2.401        0.29      55905.  
        77.0        1.16      0.7749      0.1196      0.1792       0.124       0.557       0.467      92.193       0.063       2.076       2.297        0.30      56473.  
        81.0        1.22      0.7787      0.1085      0.1703       0.117       0.529       0.423      87.607       0.060       1.884       2.192        0.30      57066.  
        85.1        1.28      0.7789      0.0972      0.1601       0.110       0.497       0.379      82.362       0.056       1.687       2.089        0.30      57682.  
        89.1        1.34      0.7790      0.0858      0.1481       0.102       0.460       0.335      76.163       0.052       1.489       1.994        0.30      58322.  
        93.2        1.41      0.7766      0.0743      0.1344       0.093       0.417       0.290      69.153       0.047       1.290       1.902        0.30      58984.  
        97.2        1.47      0.7679      0.0626      0.1195       0.082       0.371       0.244      61.458       0.042       1.086       1.802        0.31      59668.  
       101.3        1.53      0.7499      0.0506      0.1032       0.071       0.320       0.198      53.063       0.036       0.879       1.689        0.31      60372.  
       105.3        1.59      0.7160      0.0385      0.0854       0.059       0.265       0.150      43.927       0.030       0.668       1.551        0.31      61097.  
       109.4        1.65      0.6456      0.0259      0.0661       0.046       0.205       0.101      34.008       0.023       0.449       1.347        0.31      61841.  
       113.4        1.71      0.4911      0.0130      0.0454       0.031       0.141       0.051      23.360       0.016       0.226       0.988        0.32      62603.  
       117.5        1.77     -0.0002      0.0000      0.0233       0.016       0.072       0.000      11.987       0.008       0.000       0.000        0.32      63384.  
                                                                                                                                                                          
                                                                                                                                                                          
                                                                                                                                                                          
         PROP RPM =      15000                                                                                                                                            
                                                                                                                                                                          
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach       Reyn   
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -          -     
         0.0        0.00      0.0000      0.1525      0.0974       0.083       0.347       0.683      61.640       0.039       3.038       5.026        0.30      54276.  
         4.3        0.06      0.0914      0.1526      0.1021       0.087       0.364       0.684      64.589       0.041       3.041       4.801        0.30      54294.  
         8.7        0.12      0.1744      0.1528      0.1071       0.091       0.382       0.685      67.770       0.043       3.045       4.582        0.30      54349.  
        13.0        0.18      0.2495      0.1531      0.1125       0.095       0.401       0.686      71.188       0.045       3.051       4.370        0.30      54440.  
        17.4        0.24      0.3172      0.1535      0.1183       0.100       0.422       0.688      74.847       0.048       3.059       4.167        0.30      54567.  
        21.7        0.31      0.3780      0.1540      0.1245       0.106       0.444       0.690      78.748       0.050       3.068       3.973        0.30      54730.  
        26.0        0.37      0.4326      0.1546      0.1310       0.111       0.467       0.692      82.895       0.053       3.080       3.789        0.30      54929.  
        30.4        0.43      0.4814      0.1553      0.1380       0.117       0.492       0.696      87.288       0.056       3.094       3.614        0.30      55163.  
        34.7        0.49      0.5251      0.1561      0.1453       0.123       0.518       0.699      91.928       0.059       3.110       3.450        0.30      55432.  
        39.1        0.55      0.5643      0.1570      0.1530       0.130       0.546       0.703      96.823       0.062       3.129       3.295        0.30      55735.  
        43.4        0.61      0.5991      0.1581      0.1612       0.137       0.575       0.708     102.001       0.065       3.149       3.148        0.30      56072.  
        47.7        0.67      0.6301      0.1592      0.1699       0.144       0.606       0.713     107.463       0.068       3.172       3.010        0.30      56442.  
        52.1        0.73      0.6579      0.1601      0.1785       0.151       0.636       0.717     112.900       0.072       3.190       2.881        0.31      56844.  
        56.4        0.79      0.6827      0.1605      0.1867       0.158       0.666       0.719     118.151       0.075       3.198       2.760        0.31      57278.  
        60.8        0.86      0.7049      0.1597      0.1939       0.164       0.691       0.716     122.661       0.078       3.183       2.646        0.31      57743.  
        65.1        0.92      0.7246      0.1566      0.1982       0.168       0.706       0.702     125.375       0.080       3.121       2.539        0.31      58239.  
        69.4        0.98      0.7415      0.1503      0.1982       0.168       0.707       0.673     125.408       0.080       2.995       2.436        0.31      58764.  
        73.8        1.04      0.7561      0.1414      0.1943       0.165       0.693       0.634     122.957       0.078       2.818       2.337        0.31      59318.  
        78.1        1.10      0.7673      0.1309      0.1876       0.159       0.669       0.586     118.698       0.076       2.608       2.240        0.32      59899.  
        82.5        1.16      0.7747      0.1200      0.1798       0.153       0.641       0.538     113.773       0.072       2.391       2.143        0.32      60508.  
        86.8        1.22      0.7786      0.1089      0.1709       0.145       0.609       0.488     108.122       0.069       2.169       2.046        0.32      61144.  
        91.1        1.28      0.7790      0.0975      0.1607       0.136       0.573       0.437     101.648       0.065       1.943       1.949        0.32      61805.  
        95.5        1.34      0.7792      0.0861      0.1486       0.126       0.530       0.386      93.987       0.060       1.715       1.861        0.32      62490.  
        99.8        1.41      0.7768      0.0745      0.1349       0.114       0.481       0.334      85.333       0.054       1.485       1.775        0.33      63200.  
       104.2        1.47      0.7682      0.0628      0.1199       0.102       0.427       0.281      75.830       0.048       1.251       1.682        0.33      63932.  
       108.5        1.53      0.7502      0.0508      0.1035       0.088       0.369       0.228      65.458       0.042       1.012       1.577        0.33      64687.  
       112.8        1.59      0.7164      0.0386      0.0856       0.073       0.305       0.173      54.150       0.034       0.769       1.448        0.33      65464.  
